school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,18,Urban,GT3,A,Higher,Higher,at_home,teacher,course,mother,2,20,0,1,0,0,0,1,1,0,0,Good,Medium,High,Very Low,Very Low,Average,4,0,11,11
GP,F,17,Urban,GT3,T,Primary,Primary,at_home,other,course,father,1,20,0,0,1,0,0,0,1,1,0,Excellent,Medium,Medium,Very Low,Very Low,Average,2,9,11,11
GP,F,15,Urban,LE3,T,Primary,Primary,at_home,other,other,mother,1,20,0,1,0,0,0,1,1,1,0,Good,Medium,Low,Low,Medium,Average,6,12,13,12
GP,F,15,Urban,GT3,T,Higher,Middle,health,services,home,mother,1,30,0,0,1,0,1,1,1,1,1,Neutral,Low,Low,Very Low,Very Low,Very Good,0,14,14,14
GP,F,16,Urban,GT3,T,Secondary,Secondary,other,other,home,father,1,20,0,0,1,0,0,1,1,0,0,Good,Medium,Low,Very Low,Low,Very Good,0,11,13,13
GP,M,16,Urban,LE3,T,Higher,Secondary,services,other,reputation,mother,1,20,0,0,1,0,1,1,1,1,0,Excellent,High,Low,Very Low,Low,Very Good,6,12,12,13
GP,M,16,Urban,LE3,T,Middle,Middle,other,other,home,mother,1,20,0,0,0,0,0,1,1,1,0,Good,High,High,Very Low,Very Low,Average,0,13,12,13
GP,F,17,Urban,GT3,A,Higher,Higher,other,teacher,home,mother,2,20,0,1,1,0,0,1,1,0,0,Good,Very Low,High,Very Low,Very Low,Very Bad,2,10,13,13
GP,M,15,Urban,LE3,A,Secondary,Middle,services,other,home,mother,1,20,0,0,1,0,0,1,1,1,0,Good,Low,Low,Very Low,Very Low,Very Bad,0,15,16,17
GP,M,15,Urban,GT3,T,Secondary,Higher,other,other,home,mother,1,20,0,0,1,0,1,1,1,1,0,Excellent,Very High,Very Low,Very Low,Very Low,Very Good,0,12,12,13
GP,F,15,Urban,GT3,T,Higher,Higher,teacher,health,reputation,mother,1,20,0,0,1,0,0,1,1,1,0,Neutral,Medium,Medium,Very Low,Low,Bad,2,14,14,14
GP,F,15,Urban,GT3,T,Middle,Primary,services,other,reputation,father,3,30,0,0,1,0,1,1,1,1,0,Excellent,Low,Low,Very Low,Very Low,Good,0,10,12,13
GP,M,15,Urban,LE3,T,Higher,Higher,health,services,course,father,1,10,0,0,1,0,1,1,1,1,0,Good,Medium,Medium,Very Low,Medium,Very Good,0,12,13,12
GP,M,15,Urban,GT3,T,Higher,Secondary,teacher,other,course,mother,2,20,0,0,1,0,0,1,1,1,0,Excellent,High,Medium,Very Low,Low,Average,0,12,12,13
GP,M,15,Urban,GT3,A,Middle,Middle,other,other,home,other,1,30,0,0,1,0,0,1,1,1,1,Good,Very High,Low,Very Low,Very Low,Average,0,14,14,15
GP,F,16,Urban,GT3,T,Higher,Higher,health,other,home,mother,1,10,0,0,1,0,0,1,1,1,0,Good,High,High,Very Low,Low,Bad,6,17,17,17
GP,F,16,Urban,GT3,T,Higher,Higher,services,services,reputation,mother,1,30,0,0,1,0,1,1,1,1,0,Neutral,Low,Medium,Very Low,Low,Bad,10,13,13,14
GP,F,16,Urban,GT3,T,Secondary,Secondary,other,other,reputation,mother,3,20,0,1,1,0,1,1,1,0,0,Excellent,Medium,Low,Very Low,Very Low,Good,2,13,14,14
GP,M,17,Urban,GT3,T,Secondary,Middle,services,services,course,mother,1,10,3,0,1,1,1,1,1,1,0,Excellent,Very High,Very High,Low,High,Very Good,2,8,8,7
GP,M,16,Urban,LE3,T,Higher,Secondary,health,other,home,father,1,10,0,0,0,0,1,1,1,1,0,Neutral,Very Low,Medium,Very Low,Medium,Very Good,6,12,12,12
GP,M,15,Urban,GT3,T,Higher,Secondary,teacher,other,reputation,mother,1,20,0,0,0,0,0,1,1,1,0,Good,High,Very Low,Very Low,Very Low,Very Bad,0,12,13,14
GP,M,15,Urban,GT3,T,Higher,Higher,health,health,other,father,1,10,0,0,1,1,0,1,1,1,0,Excellent,High,Low,Very Low,Very Low,Very Good,0,11,12,12
GP,M,16,Urban,LE3,T,Higher,Middle,teacher,other,course,mother,1,20,0,0,0,0,1,1,1,1,0,Good,Very High,Very Low,Very Low,Medium,Very Good,0,12,13,14
GP,M,16,Urban,LE3,T,Middle,Middle,other,other,reputation,mother,2,20,0,0,1,0,1,1,1,1,0,Excellent,High,High,Low,High,Very Good,2,10,10,10
GP,F,15,Rural,GT3,T,Middle,Higher,services,health,course,mother,1,30,0,1,1,0,1,1,1,1,0,Good,Medium,Low,Very Low,Very Low,Very Good,2,10,11,10
GP,F,16,Urban,GT3,T,Middle,Middle,services,services,home,mother,1,10,0,0,1,0,0,0,1,1,0,Very Bad,Low,Low,Very Low,Medium,Very Good,6,10,11,12
GP,M,15,Urban,GT3,T,Middle,Middle,other,other,home,mother,1,10,0,0,1,0,0,1,1,1,0,Good,Low,Low,Very Low,Low,Very Good,8,11,12,12
GP,M,15,Urban,GT3,T,Higher,Middle,health,services,other,mother,1,10,0,0,0,0,0,1,1,1,0,Bad,Low,High,Low,High,Very Bad,0,11,11,11
GP,M,16,Urban,LE3,A,Secondary,Higher,services,other,home,mother,1,20,0,1,1,1,1,1,1,1,0,Excellent,Medium,Medium,Very Low,Very Low,Very Good,2,12,12,13
GP,M,16,Urban,GT3,T,Higher,Higher,teacher,teacher,home,mother,1,20,0,0,1,1,1,1,1,1,1,Good,High,Very High,Very High,Very High,Very Good,4,12,11,12
GP,M,15,Urban,GT3,T,Higher,Higher,health,services,home,mother,1,20,0,0,1,1,0,0,1,1,0,Excellent,High,Low,Medium,High,Very Good,0,10,11,11
GP,M,15,Urban,GT3,T,Higher,Higher,services,services,reputation,mother,2,20,0,0,1,0,1,1,1,1,0,Good,Medium,Very Low,Very Low,Very Low,Very Good,2,15,15,15
GP,M,15,Rural,GT3,T,Higher,Secondary,teacher,at_home,course,mother,1,20,0,0,1,0,1,1,1,1,1,Good,Very High,Low,Very Low,Very Low,Very Good,0,13,14,15
GP,M,15,Urban,LE3,T,Secondary,Secondary,other,other,course,mother,1,20,0,0,0,0,1,0,1,1,0,Excellent,Medium,Low,Very Low,Very Low,Bad,0,13,12,12
GP,M,16,Urban,GT3,T,Secondary,Middle,other,other,home,mother,1,10,0,0,1,0,0,0,1,1,0,Excellent,High,Medium,Very Low,Very Low,Very Good,4,12,12,12
GP,F,15,Urban,GT3,T,Middle,Secondary,other,other,other,father,2,10,0,0,1,0,1,1,1,0,0,Neutral,Very High,Very Low,Very Low,Very Low,Very Good,4,11,11,11
GP,M,15,Urban,LE3,T,Higher,Secondary,teacher,services,home,mother,1,30,0,0,1,0,1,1,1,1,0,Excellent,High,Medium,Very Low,Very Low,Good,0,14,14,14
GP,M,16,Rural,GT3,A,Higher,Higher,other,teacher,reputation,mother,2,30,0,0,1,0,1,1,1,1,1,Bad,High,Medium,Very Low,Very Low,Very Good,4,13,13,13
GP,F,15,Rural,GT3,T,Secondary,Higher,services,health,course,mother,1,30,0,1,1,0,1,1,1,1,0,Good,Medium,Low,Very Low,Very Low,Very Good,2,11,12,12
GP,F,15,Rural,GT3,T,Middle,Middle,at_home,other,reputation,mother,1,10,0,1,1,0,1,1,1,0,0,Good,Medium,Very Low,Very Low,Very Low,Bad,8,14,13,12
GP,F,16,Urban,LE3,T,Middle,Middle,other,other,home,mother,2,20,0,0,1,0,1,0,1,1,1,Neutral,Medium,Medium,Very Low,Low,Average,16,11,11,10
GP,M,15,Urban,LE3,T,Higher,Higher,teacher,other,home,other,1,10,0,0,1,0,0,0,1,1,1,Excellent,High,Medium,Low,High,Very Good,8,10,11,11
GP,M,15,Urban,GT3,T,Higher,Higher,services,teacher,course,father,1,20,0,0,1,0,1,1,1,1,0,Good,Medium,Medium,Very Low,Very Low,Very Good,0,14,15,15
GP,M,15,Urban,GT3,T,Middle,Middle,services,services,course,father,1,10,0,1,1,0,0,1,1,1,0,Excellent,High,Very Low,Very Low,Very Low,Very Bad,0,9,10,10
GP,F,16,Urban,LE3,T,Middle,Middle,other,at_home,course,father,2,20,1,1,0,0,1,1,1,1,0,Good,Medium,Medium,Low,Low,Very Good,14,10,11,11
GP,F,15,Urban,LE3,A,Higher,Secondary,other,other,course,mother,1,20,0,1,1,1,1,1,1,1,1,Excellent,Low,Low,Very Low,Very Low,Very Good,4,10,11,11
GP,F,16,Urban,LE3,A,Secondary,Secondary,other,services,home,mother,1,20,0,0,1,0,0,1,1,1,0,Bad,Medium,Very High,Very Low,High,Average,6,13,12,13
GP,M,16,Urban,GT3,T,Higher,Secondary,health,services,reputation,mother,1,40,0,0,0,0,1,1,1,1,0,Good,Low,Low,Very Low,Very Low,Bad,2,17,17,17
GP,M,15,Urban,GT3,T,Higher,Middle,teacher,other,home,mother,1,20,0,0,1,0,0,1,1,0,0,Good,Medium,Medium,Low,Low,Very Good,4,11,12,13
GP,F,15,Urban,GT3,T,Higher,Higher,services,teacher,other,father,1,20,0,1,1,0,1,0,1,1,0,Good,High,High,Very Low,Very Low,Average,2,13,12,12
GP,F,16,Urban,LE3,T,Middle,Middle,services,services,course,mother,3,20,0,0,1,0,0,1,1,1,0,Good,Medium,Medium,Low,Medium,Good,0,14,13,13
GP,F,15,Urban,LE3,T,Higher,Middle,health,other,other,mother,1,20,0,0,1,0,0,1,1,1,0,Good,Medium,Medium,Very Low,Very Low,Very Good,0,16,14,16
GP,M,15,Urban,LE3,A,Higher,Middle,health,health,other,father,2,10,0,0,0,0,0,1,1,0,0,Excellent,Very High,Very High,Medium,High,Very Good,4,10,9,9
GP,F,15,Urban,GT3,T,Higher,Higher,services,services,course,mother,1,10,0,1,1,0,0,1,1,1,0,Neutral,Medium,High,Low,Medium,Very Good,0,13,12,12
GP,F,15,Urban,LE3,A,Secondary,Secondary,other,other,other,mother,1,10,0,0,0,0,0,1,1,1,0,Excellent,Medium,High,High,High,Very Bad,0,13,12,13
GP,F,16,Urban,GT3,A,Middle,Primary,other,other,other,mother,1,20,0,0,0,0,1,1,1,1,1,Excellent,Medium,High,Very Low,Very Low,Bad,2,12,13,12
GP,F,15,Urban,GT3,A,Higher,Secondary,services,services,reputation,mother,1,20,0,0,1,0,1,1,1,1,0,Good,Medium,Low,Very Low,Very Low,Very Bad,0,15,14,15
GP,M,15,Urban,GT3,T,Higher,Higher,teacher,health,reputation,mother,1,20,0,0,1,0,1,1,1,0,0,Neutral,Low,Low,Very Low,Very Low,Very Good,8,15,15,16
GP,M,15,Urban,LE3,T,Primary,Middle,other,at_home,home,father,1,20,0,1,1,0,1,1,1,1,0,Good,Medium,Low,Very Low,Very Low,Very Good,0,14,13,14
GP,F,16,Urban,GT3,T,Higher,Middle,services,other,course,mother,1,20,0,0,1,1,0,1,1,1,0,Good,Low,Medium,Very Low,Very Low,Very Good,2,16,15,16
GP,F,16,Rural,GT3,T,Higher,Higher,health,teacher,other,mother,1,20,0,0,1,0,1,1,1,0,0,Bad,High,High,Low,Medium,Good,0,17,16,16
GP,F,16,Urban,GT3,T,Primary,Primary,services,services,course,father,4,10,0,1,1,0,1,0,1,1,1,Excellent,Very High,Very High,Very High,Very High,Very Good,0,10,10,16
GP,F,16,Urban,LE3,T,Primary,Middle,other,services,reputation,father,1,20,0,1,0,0,1,1,1,1,0,Good,High,Medium,Very Low,Very Low,Very Bad,0,13,13,10
GP,F,16,Urban,GT3,T,Higher,Secondary,teacher,health,home,mother,1,30,0,1,1,0,1,1,1,1,0,Neutral,High,High,Low,High,Good,0,14,13,13
GP,F,15,Urban,LE3,T,Higher,Secondary,services,services,reputation,father,1,20,0,1,0,0,1,1,1,1,1,Good,High,High,Low,High,Bad,0,13,12,12
GP,F,16,Urban,LE3,T,Higher,Secondary,teacher,services,course,mother,3,20,0,0,1,0,1,1,1,1,0,Excellent,High,Medium,Very Low,Low,Very Bad,2,16,15,16
GP,M,15,Urban,GT3,A,Higher,Higher,other,services,reputation,mother,1,40,0,0,1,0,1,0,1,1,1,Very Bad,Medium,Medium,Very High,Very High,Average,0,11,12,12
GP,F,16,Urban,GT3,T,Secondary,Primary,services,other,course,mother,1,40,0,1,1,0,0,1,1,1,0,Good,Medium,Medium,Very Low,Low,Very Good,0,10,9,10
GP,F,15,Rural,LE3,T,Middle,Middle,health,services,reputation,mother,2,20,0,1,1,0,0,1,1,1,0,Good,Very Low,Medium,Very Low,Medium,Good,0,11,10,11
GP,F,15,Rural,LE3,T,Secondary,Primary,other,other,reputation,father,2,40,0,0,1,0,0,0,1,1,0,Good,High,Low,Low,Medium,Average,6,15,15,15
GP,M,16,Urban,GT3,T,Secondary,Primary,other,other,reputation,father,2,40,0,0,1,0,0,1,1,1,0,Good,Medium,Low,Very Low,Very Low,Very Good,2,13,11,11
GP,M,15,Urban,GT3,T,Higher,Middle,other,other,course,mother,1,40,0,0,0,0,0,1,1,1,0,Neutral,Medium,Medium,Very Low,Very Low,Average,0,11,9,10
GP,F,15,Rural,GT3,T,Primary,Primary,other,other,reputation,mother,1,20,0,1,1,0,0,0,1,1,1,Neutral,Medium,High,Low,High,Very Good,2,13,11,11
GP,M,16,Urban,GT3,T,Secondary,Primary,other,other,reputation,mother,1,10,0,0,0,0,1,1,1,0,0,Excellent,Medium,Low,Low,Low,Very Good,0,13,13,14
GP,F,16,Urban,GT3,T,Secondary,Secondary,other,services,home,mother,1,20,0,1,1,0,1,1,1,1,0,Good,Medium,Medium,Low,High,Very Good,4,11,11,11
GP,M,15,Urban,GT3,T,Higher,Secondary,teacher,other,home,mother,1,20,0,0,1,0,1,1,1,1,0,Good,Medium,Medium,Low,Medium,Very Good,0,11,11,11
GP,M,15,Urban,GT3,T,Higher,None,teacher,other,course,mother,2,40,0,0,0,0,1,1,1,1,0,Neutral,High,Medium,Very Low,Very Low,Very Bad,0,12,11,11
GP,F,16,Urban,GT3,T,Middle,Middle,other,other,reputation,mother,1,40,0,0,0,0,0,1,1,1,1,Excellent,Low,Medium,Very Low,Medium,Average,1,13,13,13
GP,M,17,Urban,GT3,T,Middle,Primary,other,other,home,mother,2,10,3,1,1,0,1,1,0,1,0,Good,Very High,Very Low,Very Low,Very Low,Average,0,9,9,10
